main.cpp:7:main| ***** main start *****  
skp_lua_call.cpp:226:skp_lua_bindOut|index[1], name[FIELD_INT8] type[1], size[1], data[1] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -10 
skp_lua_call.cpp:240:skp_lua_bindOut|index[2], name[FIELD_UINT8] type[2], size[1], data[2] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -9 
skp_lua_call.cpp:254:skp_lua_bindOut|index[3], name[FIELD_INT16] type[3], size[2], data[3] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -8 
skp_lua_call.cpp:268:skp_lua_bindOut|index[4], name[FIELD_UINT16] type[4], size[2], data[4] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -7 
skp_lua_call.cpp:282:skp_lua_bindOut|index[5], name[FIELD_INT32] type[5], size[4], data[5] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -6 
skp_lua_call.cpp:296:skp_lua_bindOut|index[6], name[FIELD_UINT32] type[6], size[4], data[6] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -5 
skp_lua_call.cpp:310:skp_lua_bindOut|index[7], name[FIELD_INT64] type[7], size[8], data[7] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -4 
skp_lua_call.cpp:324:skp_lua_bindOut|index[8], name[FIELD_UINT64] type[8], size[8], data[8] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -3 
skp_lua_call.cpp:338:skp_lua_bindOut|index[9], name[FIELD_DOUBLE] type[9], size[8], data[9.000000] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -2 
skp_lua_call.cpp:366:skp_lua_bindOut|index[10], name[FIELD_CHAR] type[10], size[5], data[12345] 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -1 
skp_lua_call.cpp:382:skp_lua_bindOut|len = 6, bind.size = 128, minSize = 6 
skp_lua_call.cpp:389:skp_lua_bindOut|index[11], name[FIELD_BINARY] type[11], size[6] 
skp_lua_call.cpp:390:skp_lua_bindOut|**********start data********** 
skp_lua_call.cpp:394:skp_lua_bindOut|0x61 
skp_lua_call.cpp:394:skp_lua_bindOut|0x62 
skp_lua_call.cpp:394:skp_lua_bindOut|0 
skp_lua_call.cpp:394:skp_lua_bindOut|0x63 
skp_lua_call.cpp:394:skp_lua_bindOut|0x64 
skp_lua_call.cpp:394:skp_lua_bindOut|0x65 
skp_lua_call.cpp:396:skp_lua_bindOut|**********end data********** 
skp_lua_call.cpp:409:skp_lua_bindOut|bindOut size = [11] 
skp_lua_call.cpp:410:skp_lua_bindOut|*******end skp_lua_bindOut*********** 
skp_lua.cpp:185:lua_test_1|1 2 3 4 5 6, 7, 8, 9.000000, 12345, ab 
skp_lua.cpp:327:lua_test| ========== end lua_test_1() ==========  
main.cpp:10:main| ========== end lua_test() ==========  
main.cpp:12:main| ***** main end *****  
